Parameter,Value
Date and Time,2025-02-04 11:01:58
Voxel Size,0.2
Number of Cameras,4
W1,0.33
W2,0.33
W3,0.33
Iteration,20
Number of Particles,50
c1,0.2
c2,1.3
w,0.4075
Camera 1 Best Pose,"[4.30486452e+00 5.70826920e-01 1.35389622e+00 3.76536214e+01
 7.26734232e+01 5.93511197e-02]"
Camera 1 Coverage Count,858.0
Camera 1 Coverage Percentage,62.71929824561403
Camera 2 Best Pose,[ 2.98425311  0.9052537   1.23809536 68.39519347  0.77552052  0.13772215]
Camera 2 Coverage Count,831.0
Camera 2 Coverage Percentage,60.74561403508771
Camera 3 Best Pose,"[  0.19022485   0.80670179   2.23395944  33.52156427 -28.1511562
   0.1459288 ]"
Camera 3 Coverage Count,854.0
Camera 3 Coverage Percentage,62.42690058479532
Camera 4 Best Pose,"[ 6.75866308e-01  2.50508123e+00  1.95180124e+00  2.83792042e+00
 -5.04728800e+01  9.98573133e-03]"
Camera 4 Coverage Count,999.0
Camera 4 Coverage Percentage,73.02631578947368
Total Voxels Covered,1368.0
Total Voxels,1368
Average Pairwise Distance Difference,1.1061505396111806
Average Pairwise Angle (deg),55.90263357299392
Full Pairwise Distance Differences,"[[1.27 1.29 1.31 ... 0.13 0.12 0.12]
 [1.39 1.52 1.65 ... 1.79 1.77 1.75]
 [1.18 1.27 1.35 ... 0.39 0.36 0.34]
 [0.12 0.22 0.34 ... 1.91 1.89 1.87]
 [0.09 0.03 0.04 ... 0.51 0.49 0.46]
 [0.21 0.25 0.3  ... 1.4  1.41 1.41]]"
Full Pairwise Angles (deg),"[[ 9.94  8.86  7.71 ... 19.57 19.8  19.99]
 [87.97 92.7  97.87 ... 46.05 46.69 47.28]
 [83.4  86.89 90.39 ... 58.15 59.07 59.88]
 [79.78 85.93 92.76 ... 27.32 27.84 28.35]
 [73.61 78.1  82.68 ... 39.79 40.43 40.98]
 [44.35 47.83 51.75 ... 12.52 12.59 12.66]]"
