Parameter,Value
Date and Time,2025-02-04 11:11:20
Voxel Size,0.2
Number of Cameras,3
W1,1
W2,1
W3,1
Iteration,20
Number of Particles,50
c1,0.8
c2,1.2
w,0.3075
Camera 1 Best Pose,[ 3.9842827   1.49036677  1.97766865 52.00399179  6.0153523   0.05742093]
Camera 1 Coverage Count,564.0
Camera 1 Coverage Percentage,41.228070175438596
Camera 2 Best Pose,"[  3.37944707   4.39591708   1.23080542 -56.9181931    9.65533006
   0.15071201]"
Camera 2 Coverage Count,801.0
Camera 2 Coverage Percentage,58.55263157894737
Camera 3 Best Pose,"[  0.3574105    4.32703825   2.61634478 -26.62199086 -18.16433342
   0.09378736]"
Camera 3 Coverage Count,862.0
Camera 3 Coverage Percentage,63.01169590643275
Total Voxels Covered,1368.0
Total Voxels,1368
Average Pairwise Distance Difference,1.345465794414029
Average Pairwise Angle (deg),72.26423050891678
Full Pairwise Distance Differences,"[[0.77 0.83 0.88 ... 2.15 2.19 2.22]
 [0.63 0.61 0.59 ... 1.12 1.11 1.1 ]
 [0.15 0.21 0.28 ... 3.26 3.3  3.32]]"
Full Pairwise Angles (deg),"[[43.14 43.79 44.34 ... 61.54 64.93 68.56]
 [71.12 73.43 75.73 ... 69.09 71.07 73.  ]
 [44.8  45.65 46.42 ... 15.04 10.59  5.24]]"
