Parameter,Value
Date and Time,2025-02-04 11:56:33
Voxel Size,0.2
Number of Cameras,3
W1,1
W2,1
W3,1
Iteration,20
Number of Particles,50
c1,0.8
c2,1.2
w,0.3075
Camera 1 Best Pose,"[  0.06696279   3.5015773    1.8765075  -29.4519823  -45.63122
   0.23146866]"
Camera 1 Coverage Count,826.0
Camera 1 Coverage Percentage,60.380116959064324
Camera 2 Best Pose,"[ 4.72190481e+00  5.59646467e-02  8.61867283e-01  5.07660463e+01
  4.87001787e+01 -1.38538950e-02]"
Camera 2 Coverage Count,874.0
Camera 2 Coverage Percentage,63.888888888888886
Camera 3 Best Pose,"[  4.26409044   5.21051362   0.31914399 -28.35883     74.11929299
   0.23855731]"
Camera 3 Coverage Count,636.0
Camera 3 Coverage Percentage,46.49122807017544
Total Voxels Covered,1365.0
Total Voxels,1368
Average Pairwise Distance Difference,1.4233286101785383
Average Pairwise Angle (deg),108.54338460008155
Full Pairwise Distance Differences,"[[0.73 0.8  0.87 ... 0.13 0.08 0.04]
 [2.21 2.31 2.41 ... 3.91 3.83 3.7 ]
 [1.48 1.51 1.54 ... 3.79 3.74 3.66]]"
Full Pairwise Angles (deg),"[[108.05 111.12 113.95 ...  80.22  81.13  81.88]
 [ 60.42  60.69  60.81 ...  99.21 103.93 106.05]
 [ 64.52  64.73  64.81 ... 170.93 170.05 153.8 ]]"
