Parameter,Value
Date and Time,2025-02-04 00:44:11
Voxel Size,0.2
Number of Cameras,4
W1,0.33
W2,0.33
W3,0.33
Iteration,10
Number of Particles,50
c1,0.8
c2,1.3
w,0.2075
Camera 1 Best Pose,[ 4.4712265   2.7621801   1.26456443 -0.36553493 69.38603042  0.09642921]
Camera 1 Coverage Count,862.0
Camera 1 Coverage Percentage,63.01169590643275
Camera 2 Best Pose,"[  1.13641144   3.00911571   1.55449564 -31.71339812 -50.7556536
   0.05825772]"
Camera 2 Coverage Count,643.0
Camera 2 Coverage Percentage,47.00292397660819
Camera 3 Best Pose,"[  3.79283493   4.4119131    2.08039305 -37.45852494  24.74975499
   0.05976231]"
Camera 3 Coverage Count,1046.0
Camera 3 Coverage Percentage,76.46198830409357
Camera 4 Best Pose,[ 3.85282598  1.3230065   1.89189731 52.54440432 18.97517887  0.1166034 ]
Camera 4 Coverage Count,764.0
Camera 4 Coverage Percentage,55.84795321637427
Total Voxels Covered,1368.0
Total Voxels,1368
Average Pairwise Distance Difference,0.9897366257321559
Average Pairwise Angle (deg),62.0007948810039
Full Pairwise Distance Differences,"[[1.62 1.68 1.73 ... 1.72 1.75 1.76]
 [0.77 0.74 0.72 ... 0.14 0.24 0.36]
 [0.71 0.76 0.81 ... 1.59 1.59 1.59]
 [2.39 2.42 2.45 ... 1.86 1.99 2.13]
 [0.91 0.92 0.92 ... 0.13 0.16 0.18]
 [1.48 1.5  1.52 ... 1.73 1.84 1.95]]"
Full Pairwise Angles (deg),"[[53.17 54.14 54.96 ... 63.91 65.79 67.47]
 [22.81 23.27 23.71 ... 61.16 66.28 71.78]
 [23.1  23.22 23.27 ... 12.33 12.5  13.11]
 [30.76 31.01 31.26 ... 54.8  55.92 56.66]
 [62.05 64.51 66.92 ... 52.24 53.39 54.42]
 [38.17 38.87 39.54 ... 59.78 62.25 64.74]]"
