Parameter,Value
Date and Time,2025-02-04 00:32:30
Voxel Size,0.2
Number of Cameras,2
W1,1
W2,0
W3,0
Iteration,10
Number of Particles,50
c1,1.2
c2,0.7
w,0.3075
Camera 1 Best Pose,[ 3.97855828  1.9145898   2.64800473 10.10682612 35.35783266  0.05211553]
Camera 1 Coverage Count,1023.0
Camera 1 Coverage Percentage,74.78070175438597
Camera 2 Best Pose,"[  0.84909303   2.70548025   1.94754966   3.08235349 -56.02521673
   0.0787616 ]"
Camera 2 Coverage Count,890.0
Camera 2 Coverage Percentage,65.05847953216374
Total Voxels Covered,1335.0
Total Voxels,1368
Average Pairwise Distance Difference,1.0298817694599025
Average Pairwise Angle (deg),66.66294295310253
Full Pairwise Distance Differences,[[1.54 1.56 1.57 ... 0.72 0.77 0.83]]
Full Pairwise Angles (deg),[[53.19 55.49 57.89 ... 49.52 50.79 52.01]]
