Parameter,Value
Date and Time,2025-02-04 12:02:53
Voxel Size,0.2
Number of Cameras,4
W1,1
W2,1
W3,1
Iteration,10
Number of Particles,50
c1,0.8
c2,1.2
w,0.3075
Camera 1 Best Pose,[ 5.01019113  0.21333847  0.36723926 30.49182081 -8.80185708  0.1221425 ]
Camera 1 Coverage Count,0.0
Camera 1 Coverage Percentage,0.0
Camera 2 Best Pose,"[  0.72456128   2.13867829   0.4869723   16.31769613 -92.95451819
   0.21427433]"
Camera 2 Coverage Count,832.0
Camera 2 Coverage Percentage,60.81871345029239
Camera 3 Best Pose,"[  1.471874     4.94985967   1.28793896 -51.33455752 -11.8468118
   0.15198825]"
Camera 3 Coverage Count,903.0
Camera 3 Coverage Percentage,66.00877192982456
Camera 4 Best Pose,[ 4.14814062  2.67499015  1.09273449 80.20527221 48.20439744  0.1059067 ]
Camera 4 Coverage Count,146.0
Camera 4 Coverage Percentage,10.67251461988304
Total Voxels Covered,1311.0
Total Voxels,1368
Average Pairwise Distance Difference,1.494644510163281
Average Pairwise Angle (deg),93.64797214791632
Full Pairwise Distance Differences,"[[2.87 2.9  2.92 ... 0.06 0.06 0.07]
 [0.08 0.04 0.   ... 1.32 1.38 1.43]
 [0.34 0.38 0.42 ... 2.35 2.42 2.48]
 [2.95 2.94 2.91 ... 1.26 1.31 1.37]
 [2.52 2.52 2.5  ... 2.29 2.36 2.42]
 [0.43 0.42 0.42 ... 1.03 1.05 1.05]]"
Full Pairwise Angles (deg),"[[105.58 107.2  107.52 ...  65.95  65.97  65.83]
 [ 90.36  91.19  91.77 ... 107.1  108.24 108.93]
 [ 39.22  39.43  39.54 ...  26.38  24.13  21.68]
 [ 15.45  16.59  19.71 ...  44.7   44.74  44.64]
 [ 66.35  68.22  69.78 ...  54.25  54.03  53.6 ]
 [ 51.21  51.89  52.46 ...  86.29  89.24  91.68]]"
