Parameter,Value
Date and Time,2025-02-04 11:45:56
Voxel Size,0.2
Number of Cameras,5
W1,1
W2,1
W3,1
Iteration,20
Number of Particles,50
c1,0.8
c2,1.2
w,0.3075
Camera 1 Best Pose,"[ 1.96782403e+00  4.51166357e+00  1.60756264e+00 -5.80455746e+01
 -6.91192924e+00 -5.93011665e-04]"
Camera 1 Coverage Count,887.0
Camera 1 Coverage Percentage,64.8391812865497
Camera 2 Best Pose,"[ 4.18439430e+00  4.50800000e+00  7.00000000e-01 -6.18703822e+01
  8.17814987e+01 -1.85117112e-02]"
Camera 2 Coverage Count,884.0
Camera 2 Coverage Percentage,64.61988304093568
Camera 3 Best Pose,"[ 4.62141094e+00  1.58292076e+00  2.43284260e+00  1.54201414e+01
  4.21632787e+01 -2.26914013e-02]"
Camera 3 Coverage Count,1047.0
Camera 3 Coverage Percentage,76.53508771929825
Camera 4 Best Pose,"[ 3.98080548e+00  2.37948474e+00  1.45325403e+00  4.39013139e+00
  5.93539150e+01 -1.56195653e-02]"
Camera 4 Coverage Count,721.0
Camera 4 Coverage Percentage,52.7046783625731
Camera 5 Best Pose,"[ 5.01879734e+00  5.25245814e+00  1.61079150e+00 -3.88818738e+01
  5.63746778e+01 -1.80431717e-02]"
Camera 5 Coverage Count,838.0
Camera 5 Coverage Percentage,61.25730994152047
Total Voxels Covered,1368.0
Total Voxels,1368
Average Pairwise Distance Difference,1.1719839856175405
Average Pairwise Angle (deg),54.11596930966722
Full Pairwise Distance Differences,"[[0.86 0.91 0.96 ... 2.26 2.35 2.39]
 [0.39 0.36 0.32 ... 0.95 0.93 0.91]
 [0.38 0.38 0.38 ... 0.24 0.24 0.23]
 ...
 [0.77 0.74 0.7  ... 1.19 1.17 1.14]
 [1.73 1.79 1.85 ... 1.95 1.99 2.03]
 [2.5  2.53 2.55 ... 0.76 0.82 0.89]]"
Full Pairwise Angles (deg),"[[ 28.99  29.05  29.04 ...  44.61  34.6   21.56]
 [ 56.48  57.79  59.04 ...  78.07  81.4   84.69]
 [ 44.29  45.15  45.92 ...  69.99  72.96  75.72]
 ...
 [ 16.91  17.57  18.23 ...  14.74  16.04  17.48]
 [ 37.39  37.64  37.85 ...  82.13  88.04  94.69]
 [ 21.24  21.11  21.   ...  94.41 102.39 111.25]]"
