Generation,Best Fitness
0,0.8618421052631579
1,0.935672514619883
2,0.9451754385964912
3,0.9480994152046783
4,0.9532163742690059
5,0.9568713450292398
6,0.9583333333333334
7,0.9590643274853801
8,0.9597953216374269
9,0.9597953216374269
10,0.9597953216374269
11,0.9605263157894737
12,0.9619883040935673
13,0.9619883040935673
14,0.9627192982456141
15,0.9627192982456141
16,0.9634502923976608
17,0.9634502923976608
18,0.9634502923976608
19,0.9634502923976608
20,0.9634502923976608
21,0.9634502923976608
22,0.9634502923976608
23,0.9634502923976608
24,0.9634502923976608
25,0.9634502923976608
26,0.9634502923976608
27,0.9634502923976608
28,0.9634502923976608
29,0.9634502923976608
30,0.9634502923976608
31,0.9634502923976608
32,0.9634502923976608
33,0.9634502923976608
34,0.9634502923976608
35,0.9634502923976608
36,0.9634502923976608
37,0.9634502923976608
38,0.9634502923976608
39,0.9634502923976608
40,0.9634502923976608
41,0.9634502923976608
42,0.9634502923976608
43,0.9634502923976608
44,0.9634502923976608
45,0.9634502923976608
46,0.9634502923976608
47,0.9634502923976608
48,0.9634502923976608
49,0.9634502923976608
